sampledate,avg_ph,flag_avg_ph
2019-04-16,8.32,
2019-04-17,8.22,
2019-04-18,8.22,
2019-04-19,8.34,
2019-04-20,8.46,
2019-04-21,8.50,
2019-04-22,8.47,
2019-04-23,8.53,
2019-04-24,8.58,
2019-04-25,8.58,
2019-04-26,8.56,
2019-04-27,8.55,
2019-04-28,8.55,
2019-04-29,8.54,
2019-04-30,8.53,
2019-05-01,8.52,
2019-05-02,8.52,
2019-05-03,8.62,
2019-05-04,8.70,
2019-05-05,8.76,
2019-05-06,8.77,
2019-05-07,8.72,
2019-05-08,8.64,
2019-05-09,8.66,
2019-05-10,8.67,
2019-05-11,8.68,
2019-05-12,8.68,
2019-05-13,8.70,
2019-05-14,8.69,
2019-05-15,8.67,
2019-05-16,8.70,
2019-05-17,8.65,
2019-05-18,8.62,
2019-05-19,8.61,
2019-05-20,8.59,
2019-05-21,8.56,
2019-05-22,8.54,
2019-05-23,8.52,
2019-05-24,8.50,
2019-05-25,8.48,
2019-05-26,8.41,
2019-05-27,8.35,
2019-05-28,8.34,
2019-05-29,8.31,
2019-05-30,8.28,
2019-05-31,8.26,
2019-06-01,8.26,
2019-06-02,8.26,
2019-06-03,8.27,
2019-06-04,8.27,
2019-06-05,8.29,
2019-06-06,8.29,
2019-06-07,8.37,
2019-06-08,8.36,
2019-06-09,8.35,
2019-06-10,8.36,
2019-06-11,8.41,
2019-06-12,8.38,
2019-06-13,8.36,
2019-06-14,8.35,
2019-06-15,8.34,
2019-06-16,8.33,
2019-06-17,8.34,
2019-06-18,8.33,
2019-06-19,8.35,
2019-06-20,8.33,
2019-06-21,8.34,
2019-06-22,8.31,
2019-06-23,8.34,
2019-06-24,8.42,
2019-06-25,8.40,
2019-06-26,8.41,
2019-06-27,8.50,
2019-06-28,8.42,
2019-06-29,8.48,
2019-06-30,8.49,
2019-07-01,8.50,
2019-07-02,8.60,
2019-07-03,8.60,
2019-07-04,8.54,
2019-07-05,8.75,
2019-07-06,8.69,
2019-07-07,8.64,
2019-07-08,8.78,
2019-07-09,8.70,
2019-07-10,8.76,
