lakeid,sampledate,depth,flagph,ph
KE,2019-4-18,0.00,,8.99
KE,2019-4-18,0.00,,9.00
KE,2019-5-15,0.00,,8.84
KE,2019-6-17,0.00,,8.78
KE,2019-7-9,0.00,,9.31
KE,2019-9-11,0.00,,9.50
KE,2019-10-9,0.00,,8.84
ME,2019-2-21,0.00,,8.45
ME,2019-2-21,4.00,,8.45
ME,2019-2-21,8.00,,8.42
ME,2019-2-21,20.00,,8.12
ME,2019-2-21,8.00,,8.41
ME,2019-4-15,0.00,,8.69
ME,2019-4-15,4.00,,8.64
ME,2019-4-15,8.00,,8.66
ME,2019-4-15,12.00,,8.62
ME,2019-4-15,16.00,,8.58
ME,2019-4-15,20.00,,8.58
ME,2019-4-15,0.00,,8.70
ME,2019-5-12,0.00,,9.03
ME,2019-5-12,4.00,,9.02
ME,2019-5-12,8.00,,8.98
ME,2019-5-12,12.00,,8.96
ME,2019-5-12,16.00,,8.93
ME,2019-5-12,20.00,,8.89
ME,2019-5-12,4.00,,9.02
ME,2019-6-11,0.00,,9.03
ME,2019-6-11,4.00,,8.91
ME,2019-6-11,8.00,,8.86
ME,2019-6-11,10.00,,8.73
ME,2019-6-11,12.00,,8.64
ME,2019-6-11,14.00,,8.65
ME,2019-6-11,16.00,,8.61
ME,2019-6-11,18.00,,8.57
ME,2019-6-11,20.00,,8.38
ME,2019-6-11,22.00,,8.33
ME,2019-6-11,12.00,,8.68
ME,2019-7-8,0.00,,9.38
ME,2019-7-8,4.00,,9.16
ME,2019-7-8,8.00,,8.56
ME,2019-7-8,10.00,,8.47
ME,2019-7-8,12.00,,8.35
ME,2019-7-8,14.00,,8.26
ME,2019-7-8,16.00,,8.19
ME,2019-7-8,18.00,,8.18
ME,2019-7-8,20.00,,8.13
ME,2019-7-8,22.00,,8.13
ME,2019-7-8,4.00,,9.16
ME,2019-8-5,0.00,,9.55
ME,2019-8-5,4.00,,9.51
ME,2019-8-5,6.00,,9.25
ME,2019-8-5,8.00,,8.57
ME,2019-8-5,10.00,,8.21
ME,2019-8-5,12.00,,8.17
ME,2019-8-5,14.00,,8.13
ME,2019-8-5,16.00,,8.11
ME,2019-8-5,18.00,,8.06
