lakeid,sampledate,depth,flag,param,value
KE,2019-3-7,0,,DRSIF_SLOH,3.730
KE,2019-3-7,0,,DRP_SLOH,0.049
KE,2019-3-7,0,,NO3NO2_SLOH,0.694
KE,2019-4-18,0,,DRSIF_SLOH,0.860
KE,2019-4-18,0,S,DRP_SLOH,0.000
KE,2019-4-18,0,,NO3NO2_SLOH,0.516
KE,2019-6-25,0,,DRSIF_SLOH,7.690
KE,2019-6-25,0,Q,DRP_SLOH,0.046
KE,2019-6-25,0,,NO3NO2_SLOH,0.047
KE,2019-8-9,0,,DRP_SLOH,0.013
KE,2019-8-9,0,,NO3NO2_SLOH,0.083
KE,2019-9-11,0,,DRSIF_SLOH,10.900
KE,2019-9-11,0,Q,DRP_SLOH,0.022
KE,2019-9-11,0,S,NO3NO2_SLOH,0.000
ME,2019-2-21,20,,DRSIF_SLOH,7.690
ME,2019-2-21,4,,DRSIF_SLOH,4.180
ME,2019-2-21,0,,DRSIF_SLOH,4.740
ME,2019-2-21,20,Q,DRP_SLOH,0.164
ME,2019-2-21,4,Q,DRP_SLOH,0.102
ME,2019-2-21,0,Q,DRP_SLOH,0.178
ME,2019-2-21,16,Q,DRP_SLOH,0.134
ME,2019-2-21,12,Q,DRP_SLOH,0.111
ME,2019-2-21,8,Q,DRP_SLOH,0.103
ME,2019-2-21,20,,NO3NO2_SLOH,1.870
ME,2019-2-21,4,,NO3NO2_SLOH,0.953
ME,2019-2-21,0,,NO3NO2_SLOH,1.120
ME,2019-2-21,16,,NO3NO2_SLOH,1.260
ME,2019-2-21,12,,NO3NO2_SLOH,1.130
ME,2019-2-21,8,,NO3NO2_SLOH,0.973
ME,2019-4-3,0,,DRSIF_SLOH,3.370
ME,2019-4-3,0,,DRP_SLOH,0.098
ME,2019-4-3,0,,NO3NO2_SLOH,1.340
ME,2019-4-15,0,,DRSIF_SLOH,0.579
ME,2019-4-15,4,,DRSIF_SLOH,0.686
ME,2019-4-15,20,,DRSIF_SLOH,0.707
ME,2019-4-15,0,Q,DRP_SLOH,0.064
ME,2019-4-15,4,Q,DRP_SLOH,0.076
ME,2019-4-15,20,Q,DRP_SLOH,0.078
ME,2019-4-15,8,Q,DRP_SLOH,0.077
ME,2019-4-15,12,Q,DRP_SLOH,0.078
ME,2019-4-15,0,,NO3NO2_SLOH,1.320
ME,2019-4-15,4,,NO3NO2_SLOH,1.330
ME,2019-4-15,20,,NO3NO2_SLOH,1.340
ME,2019-4-15,8,,NO3NO2_SLOH,1.310
ME,2019-4-15,12,,NO3NO2_SLOH,1.310
ME,2019-4-29,4,S,DRSIF_SLOH,0.000
ME,2019-4-29,0,S,DRSIF_SLOH,0.000
ME,2019-4-29,4,Q,DRP_SLOH,0.074
ME,2019-4-29,0,Q,DRP_SLOH,0.074
ME,2019-4-29,4,,NO3NO2_SLOH,1.170
ME,2019-4-29,0,,NO3NO2_SLOH,1.180
ME,2019-5-13,0,S,DRSIF_SLOH,0.000
ME,2019-5-13,4,S,DRSIF_SLOH,0.000
ME,2019-5-13,20,S,DRSIF_SLOH,0.000
ME,2019-5-13,0,Q,DRP_SLOH,0.064
ME,2019-5-13,4,Q,DRP_SLOH,0.064
ME,2019-5-13,20,Q,DRP_SLOH,0.073
ME,2019-5-13,0,,NO3NO2_SLOH,1.160
ME,2019-5-13,4,,NO3NO2_SLOH,1.170
ME,2019-5-13,20,,NO3NO2_SLOH,1.140
ME,2019-5-28,0,,DRSIF_SLOH,0.290
ME,2019-5-28,4,,DRSIF_SLOH,0.275
ME,2019-5-28,0,Q,DRP_SLOH,0.085
ME,2019-5-28,4,Q,DRP_SLOH,0.085
ME,2019-5-28,0,,NO3NO2_SLOH,1.080
ME,2019-5-28,4,,NO3NO2_SLOH,1.070
ME,2019-6-11,0,,DRSIF_SLOH,0.622
ME,2019-6-11,4,,DRSIF_SLOH,0.715
ME,2019-6-11,20,,DRSIF_SLOH,1.360
ME,2019-6-11,0,Q,DRP_SLOH,0.063
ME,2019-6-11,4,Q,DRP_SLOH,0.074
ME,2019-6-11,20,Q,DRP_SLOH,0.221
ME,2019-6-11,8,Q,DRP_SLOH,0.069
ME,2019-6-11,10,Q,DRP_SLOH,0.097
ME,2019-6-11,12,Q,DRP_SLOH,0.130
ME,2019-6-11,14,Q,DRP_SLOH,0.134
ME,2019-6-11,16,Q,DRP_SLOH,0.150
ME,2019-6-11,18,Q,DRP_SLOH,0.165
ME,2019-6-11,22,Q,DRP_SLOH,0.274
ME,2019-6-11,0,,NO3NO2_SLOH,1.040
ME,2019-6-11,4,,NO3NO2_SLOH,1.030
ME,2019-6-11,20,,NO3NO2_SLOH,0.774
ME,2019-6-11,8,,NO3NO2_SLOH,1.040
ME,2019-6-11,10,,NO3NO2_SLOH,1.020
ME,2019-6-11,12,,NO3NO2_SLOH,0.974
ME,2019-6-11,14,,NO3NO2_SLOH,0.958
ME,2019-6-11,16,,NO3NO2_SLOH,0.923
ME,2019-6-11,18,,NO3NO2_SLOH,0.921
ME,2019-6-11,22,,NO3NO2_SLOH,0.728
ME,2019-6-24,0,,DRSIF_SLOH,0.869
ME,2019-6-24,4,,DRSIF_SLOH,0.906
ME,2019-6-24,0,Q,DRP_SLOH,0.070
ME,2019-6-24,4,Q,DRP_SLOH,0.079
ME,2019-6-24,0,,NO3NO2_SLOH,0.964
ME,2019-6-24,4,,NO3NO2_SLOH,0.958
ME,2019-7-8,0,,DRSIF_SLOH,1.340
ME,2019-7-8,4,,DRSIF_SLOH,1.310
ME,2019-7-8,20,,DRSIF_SLOH,2.790
ME,2019-7-8,0,Q,DRP_SLOH,0.030
ME,2019-7-8,4,Q,DRP_SLOH,0.039
ME,2019-7-8,8,Q,DRP_SLOH,0.102
ME,2019-7-8,10,Q,DRP_SLOH,0.122
ME,2019-7-8,12,Q,DRP_SLOH,0.171
ME,2019-7-8,14,Q,DRP_SLOH,0.210
ME,2019-7-8,16,Q,DRP_SLOH,0.245
ME,2019-7-8,18,Q,DRP_SLOH,0.283
ME,2019-7-8,20,Q,DRP_SLOH,0.362
ME,2019-7-8,22,Q,DRP_SLOH,0.384
ME,2019-7-8,0,,NO3NO2_SLOH,0.586
ME,2019-7-8,4,,NO3NO2_SLOH,0.701
ME,2019-7-8,8,,NO3NO2_SLOH,0.854
ME,2019-7-8,10,,NO3NO2_SLOH,0.801
ME,2019-7-8,12,,NO3NO2_SLOH,0.745
