station name: MADISON DANE COUNTY REGIONAL AP
station identifier: 474961
key: T=trace | M=missing | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,maxt,mint,pcpn,snow,snwd,(hour),(hour),(hour),(hour),(hour)
1939-10-01,67,33,0.00,0.0,0,0,0,0,0,0
1939-10-02,70,38,0.00,0.0,0,0,0,0,0,0
1939-10-03,74,48,0.00,0.0,0,0,0,0,0,0
1939-10-04,81,51,0.00,0.0,0,0,0,0,0,0
1939-10-05,70,56,0.00,0.0,0,0,0,0,0,0
1939-10-06,77,45,0.00,0.0,0,0,0,0,0,0
1939-10-07,85,47,0.00,0.0,0,0,0,0,0,0
1939-10-08,79,59,0.06,0.0,0,0,0,0,0,0
1939-10-09,75,58,0.38,0.0,0,0,0,0,0,0
1939-10-10,67,44,0.00,0.0,0,0,0,0,0,0
1939-10-11,63,39,0.00,0.0,0,0,0,0,0,0
1939-10-12,53,37,0.00,0.0,0,0,0,0,0,0
1939-10-13,44,32,0.32,0.0,0,0,0,0,0,0
1939-10-14,47,27,0.00,0.0,0,0,0,0,0,0
1939-10-15,60,33,0.00,0.0,0,0,0,0,0,0
1939-10-16,52,30,0.00,0.0,0,0,0,0,0,0
1939-10-17,49,22,0.00,0.0,0,0,0,0,0,0
1939-10-18,71,34,0.00,0.0,0,0,0,0,0,0
1939-10-19,66,39,0.00,0.0,0,0,0,0,0,0
1939-10-20,72,33,0.38,0.0,0,0,0,0,0,0
1939-10-21,66,46,0.00,0.0,0,0,0,0,0,0
1939-10-22,55,41,0.00,0.0,0,0,0,0,0,0
1939-10-23,45,40,0.00,0.0,0,0,0,0,0,0
1939-10-24,52,35,0.02,0.0,0,0,0,0,0,0
1939-10-25,65,49,0.20,0.0,0,0,0,0,0,0
1939-10-26,74,56,0.00,0.0,0,0,0,0,0,0
1939-10-27,64,34,0.19,0.0,0,0,0,0,0,0
1939-10-28,40,29,0.00,0.0,0,0,0,0,0,0
1939-10-29,43,32,0.12,0.0,0,0,0,0,0,0
1939-10-30,41,29,0.00,0.0,0,0,0,0,0,0
1939-10-31,48,31,0.00,0.0,0,0,0,0,0,0
1939-11-01,40,29,0.00,0.0,0,0,0,0,0,0
1939-11-02,40,27,0.00,0.0,0,0,0,0,0,0
1939-11-03,44,23,0.00,0.0,0,0,0,0,0,0
1939-11-04,48,28,0.00,0.0,0,0,0,0,0,0
1939-11-05,46,29,0.00,0.0,0,0,0,0,0,0
1939-11-06,53,25,0.04,0.0,0,0,0,0,0,0
1939-11-07,49,35,0.00,0.0,0,0,0,0,0,0
1939-11-08,43,28,0.00,0.0,0,0,0,0,0,0
1939-11-09,59,27,0.12,0.0,0,0,0,0,0,0
1939-11-10,51,22,0.05,0.0,0,0,0,0,0,0
1939-11-11,46,18,0.00,0.0,0,0,0,0,0,0
1939-11-12,45,27,0.00,0.0,0,0,0,0,0,0
1939-11-13,55,30,0.00,0.0,0,0,0,0,0,0
1939-11-14,57,33,0.00,0.0,0,0,0,0,0,0
1939-11-15,63,36,0.00,0.0,0,0,0,0,0,0
1939-11-16,68,38,0.00,0.0,0,0,0,0,0,0
1939-11-17,64,41,0.00,0.0,0,0,0,0,0,0
1939-11-18,52,29,0.00,0.0,0,0,0,0,0,0
1939-11-19,46,26,0.00,0.0,0,0,0,0,0,0
1939-11-20,36,29,0.00,0.0,0,0,0,0,0,0
1939-11-21,37,29,0.00,0.0,0,0,0,0,0,0
1939-11-22,43,22,0.00,0.0,0,0,0,0,0,0
1939-11-23,40,23,0.00,0.0,0,0,0,0,0,0
1939-11-24,41,35,0.03,0.0,0,0,0,0,0,0
1939-11-25,41,34,0.00,0.0,0,0,0,0,0,0
1939-11-26,42,21,0.00,0.0,0,0,0,0,0,0
1939-11-27,46,21,0.00,0.0,0,0,0,0,0,0
1939-11-28,45,22,0.00,0.0,0,0,0,0,0,0
1939-11-29,45,31,0.00,0.0,0,0,0,0,0,0
1939-11-30,42,35,0.00,0.0,0,0,0,0,0,0
1939-12-01,44,39,0.27,0.0,0,0,0,0,0,0
1939-12-02,44,28,0.02,0.0,0,0,0,0,0,0
1939-12-03,32,28,0.00,0.0,0,0,0,0,0,0
1939-12-04,33,24,0.00,0.0,0,0,0,0,0,0
1939-12-05,42,21,0.00,0.0,0,0,0,0,0,0
1939-12-06,51,28,0.00,0.0,0,0,0,0,0,0
1939-12-07,50,32,0.00,0.0,0,0,0,0,0,0
1939-12-08,50,28,0.00,0.0,0,0,0,0,0,0
1939-12-09,54,36,0.00,0.0,0,0,0,0,0,0
1939-12-10,47,30,0.00,0.0,0,0,0,0,0,0
1939-12-11,40,27,0.00,0.0,0,0,0,0,0,0
1939-12-12,48,30,0.00,0.0,0,0,0,0,0,0
1939-12-13,30,18,0.00,0.0,0,0,0,0,0,0
1939-12-14,34,9,0.00,0.0,0,0,0,0,0,0
1939-12-15,48,26,0.00,0.0,0,0,0,0,0,0
1939-12-16,50,34,0.00,0.0,0,0,0,0,0,0
1939-12-17,52,30,0.00,0.0,0,0,0,0,0,0
1939-12-18,50,30,0.00,0.0,0,0,0,0,0,0
1939-12-19,44,29,0.00,0.0,0,0,0,0,0,0
1939-12-20,31,22,0.00,0.0,0,0,0,0,0,0
1939-12-21,30,15,0.00,0.0,0,0,0,0,0,0
1939-12-22,40,11,0.00,0.0,0,0,0,0,0,0
1939-12-23,38,13,0.00,0.0,0,0,0,0,0,0
1939-12-24,36,14,0.00,0.0,0,0,0,0,0,0
1939-12-25,39,21,0.00,0.0,0,0,0,0,0,0
1939-12-26,29,21,0.00,0.0,0,0,0,0,0,0
1939-12-27,32,15,0.00,0.0,0,0,0,0,0,0
1939-12-28,30,13,0.00,0.0,0,0,0,0,0,0
1939-12-29,27,21,0.00,0.0,0,0,0,0,0,0
1939-12-30,23,2,0.00,0.0,0,0,0,0,0,0
1939-12-31,14,-0,0.00,0.0,0,0,0,0,0,0
