"Year","Month","Day","Secchi.Depth.m","s.Secchi.Depth.m","People","Notes.Secchi","Source.Secchi","Secchi.Season"
1900,11,26,4.5,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,2,20,5.9,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,3,2,10,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,3,18,11,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,4,15,0.9,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,4,16,1.2,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,4,19,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,4,27,2.2,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,5,4,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,5,20,4.1,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,6,4,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,6,11,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1901,6,19,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1902,10,11,3.2,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2",NA
1906,3,29,0.9,NA,"E.A. Birge C. Juday and Associates","2","knb-lter-ntl.335.2","pre-clearwater"
1906,5,20,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","clearwater"
1906,6,4,6.3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","clearwater"
1906,6,11,3.2,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","clearwater"
1906,6,19,3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
1906,7,12,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
1906,7,20,2.3,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
1906,7,28,1.9,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
1906,8,4,1.7,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
1906,8,28,2.5,NA,"E.A. Birge C. Juday and Associates",NA,"knb-lter-ntl.335.2","post-clearwater"
