"Year","Clear.Start","Clear.End","Max.Clearwater.Depth.m","Max.Clearwater.Depth.Date"
1900,NA,NA,NA,NA
1901,NA,NA,NA,NA
1902,NA,NA,NA,NA
1903,NA,NA,NA,NA
1904,NA,NA,NA,NA
1905,NA,NA,NA,NA
1906,1906-04-25,1906-06-15,6.3,1906-06-04
1907,1907-06-05,1907-06-30,4.3,1907-06-19
1908,NA,NA,NA,NA
1909,NA,NA,NA,NA
1910,NA,NA,NA,NA
1911,NA,NA,NA,NA
1912,NA,NA,NA,NA
1913,1913-05-25,1913-06-11,3.5,1913-05-28
1914,1914-05-21,1914-06-07,3.5,1914-06-04
1915,1915-06-16,1915-06-30,3,1915-06-27
1916,1916-06-08,1916-06-15,3.5,1916-06-11
1917,1917-06-01,1917-06-15,3.9,1917-06-11
1918,1918-06-02,1918-06-21,5.7,1918-06-10
1919,1919-05-16,1919-07-07,4.5,1919-06-13
1920,1920-05-31,1920-06-14,5,1920-06-05
1921,NA,NA,NA,NA
1922,NA,NA,NA,NA
1923,1923-05-15,1923-06-23,3.3,1923-06-06
1924,1924-06-07,1924-07-02,3.5,1924-06-25
1925,1925-05-17,1925-06-04,3.5,1925-05-29
1926,1926-05-20,1926-06-28,2.8,1926-06-25
1927,1927-04-26,1927-05-29,6.8,1927-05-24
1928,1928-04-29,1928-05-24,4,1928-05-09
1929,1929-05-17,1929-06-25,4.5,1929-06-10
1930,1930-06-02,1930-06-28,4.2,1930-06-12
1931,NA,NA,NA,NA
1932,NA,NA,NA,NA
1933,NA,NA,NA,NA
1934,NA,NA,NA,NA
1935,NA,NA,NA,NA
1936,NA,NA,NA,NA
1937,NA,NA,NA,NA
1938,NA,NA,NA,NA
1939,NA,NA,NA,NA
1940,NA,NA,NA,NA
1941,NA,NA,NA,NA
1942,NA,NA,NA,NA
1943,NA,NA,NA,NA
1944,NA,NA,NA,NA
1945,NA,NA,NA,NA
1946,NA,NA,NA,NA
1947,NA,NA,NA,NA
1948,NA,NA,NA,NA
1949,NA,NA,NA,NA
1950,NA,NA,NA,NA
1951,NA,NA,NA,NA
1952,NA,NA,NA,NA
1953,NA,NA,NA,NA
1954,NA,NA,NA,NA
1955,NA,NA,NA,NA
1956,NA,NA,NA,NA
1957,NA,NA,NA,NA
1958,NA,NA,NA,NA
1959,NA,NA,NA,NA
1960,NA,NA,NA,NA
1961,NA,NA,NA,NA
1962,1962-05-16,1962-06-11,8.1,1962-05-20
1963,NA,NA,NA,NA
1964,NA,NA,NA,NA
1965,NA,NA,NA,NA
1966,1966-04-06,1966-05-30,7.8,1966-05-13
1967,NA,NA,NA,NA
1968,NA,NA,NA,NA
1969,NA,NA,NA,NA
1970,NA,NA,NA,NA
1971,1971-05-07,1971-06-24,10,1971-05-21
1972,1972-05-20,1972-06-03,9,1972-05-27
1973,NA,NA,NA,NA
1974,1974-05-18,1974-06-22,6,1974-06-03
1975,1975-05-17,1975-06-20,8,1975-05-23
1976,1976-05-04,1976-05-31,8,1976-05-21
1977,NA,NA,NA,NA
1978,NA,NA,NA,NA
1979,NA,NA,NA,NA
1980,NA,NA,NA,NA
1981,NA,NA,NA,NA
1982,NA,NA,NA,NA
1983,NA,NA,NA,NA
1984,NA,NA,NA,NA
1985,NA,NA,NA,NA
1986,NA,NA,NA,NA
1987,NA,NA,NA,NA
1988,1988-04-19,1988-06-13,8.9,1988-05-11
1989,NA,NA,NA,NA
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,NA,NA,NA,NA
1995,1995-05-17,1995-06-28,9.5,1995-06-06
1996,1996-04-25,1996-07-02,12,1996-05-04
1997,1997-05-08,1997-07-16,6.2,1997-05-13
1998,1998-05-03,1998-06-29,11.1,1998-05-11
1999,1999-04-06,1999-06-14,10.5,1999-04-26
2000,2000-04-18,2000-07-10,6.2,2000-04-25
2001,2001-05-01,2001-06-25,9,2001-05-07
2002,2002-04-17,2002-06-24,6.6,2002-05-20
2003,2003-04-22,2003-07-29,6.6,2003-05-13
2004,2004-04-21,2004-06-28,10.1,2004-05-10
2005,2005-04-21,2005-06-27,7.5,2005-05-09
2006,2006-03-21,2006-06-19,6.5,2006-04-04
2007,2007-04-24,2007-07-02,7.8,2007-05-14
2008,2008-04-22,2008-06-16,10.7,2008-05-28
2009,2009-03-05,2009-06-29,8.5,2009-06-09
2010,2010-05-04,2010-06-14,7.6,2010-05-24
2011,2011-05-25,2011-08-13,7.2,2011-06-13
2012,2012-03-29,2012-06-13,8.2,2012-05-01
2013,2013-05-19,2013-07-05,9.6434,2013-06-10
2014,2014-05-30,2014-07-12,4.9375,2014-05-30
2015,2015-05-26,2015-06-21,6.61375,2015-06-02
2016,2016-05-03,2016-06-26,5.9,2016-05-11
2017,2017-05-20,2017-06-26,7.2075,2017-06-02
2018,2018-05-20,2018-06-27,5,2018-05-24
2019,2019-04-27,2019-07-10,8.4575,2019-06-07
2020,2020-05-12,2020-07-01,9.9,2020-06-02
