year,Clearwater.Duration
1995,346.34999999999945
1996,554.7999999999993
1997,451.35000000000036
1998,467.15000000000146
1999,528.25
2000,435.75
2001,435.4500000000007
2002,484.34999999999854
2003,517.8999999999996
2004,466.47499999999854
2005,384.2499999999991
2006,531.6499999999996
2007,446.5
2008,432.59999999999854
2009,450.9499999999989
2010,258.65000000000055
2011,368.1999999999989
2012,531.2576000000008
2013,337.51932750000014
2014,171.92500000000018
2015,210.30291666666653
2016,355.0058333333345
2017,256.03333333333376
2018,223.43831944444355
2019,447.2491666666665
2020,356.4999999999991
