year,Jz,Jv,Ja,id
1996,0.14924242424242423,0.15728664746994794,0.005123986358904307,ME
1997,0.14175824175824178,0.16701192831559641,0.015903989648871502,ME
1998,0.18533834586466164,0.28448618057446284,0.05944186418335799,ME
1999,0.13435897435897437,0.16667412535922313,0.017355398965746973,ME
2000,0.11241331484049931,0.12618018239928175,0.009334783756811224,ME
2001,0.16193490054249549,0.2515389744865845,0.044901704333828306,ME
2002,0.1704081632653061,0.22028068522989983,0.023108766014035137,ME
2003,0.16271777003484322,0.18797352346979582,0.0162538634566488,ME
2004,0.16901785714285716,0.24783272809021956,0.043878578261274136,ME
2005,0.17381818181818182,0.2061814740759876,0.017940879448801815,ME
2006,0.15714285714285714,0.19871057463559647,0.022482046816677703,ME
2007,0.15328185328185331,0.17483794529361452,0.01042760745594522,ME
2008,0.17391500904159132,0.2446665091504703,0.036126921831043046,ME
2009,0.1924908424908425,0.2532721590531666,0.03615823474882414,ME
2010,0.14365079365079364,0.19645152883205808,0.02303474912610166,ME
2011,0.1839010989010989,0.26114767793291477,0.04555766282461649,ME
2012,0.15700197238658775,0.17555936432769725,0.016498587106739383,ME
2013,0.2117096018735363,0.3331441825884195,0.058711839644001694,ME
2014,0.22305194805194803,0.2638020680467959,0.020724579041555467,ME
2015,0.15926940639269407,0.2019877443774894,0.024493771925423468,ME
2016,0.1663461538461538,0.17783590753979994,0.008531712455733344,ME
2017,0.20769230769230768,0.2592934788638966,0.04133092691547205,ME
2018,0.24756838905775072,0.3180833175217373,0.04071452288515353,ME
2019,0.26741258741258744,0.3020227293202375,0.031995923779695026,ME
2020,0.25059523809523804,0.3752454764079149,0.06122666424493718,ME
2021,0.19422268907563023,0.31590028124233105,0.06822166700056705,ME
