year,strat_on,strat_off,strat_duration,ice_on,ice_off,ice_duration
1996,139,306,168,344,98,119
1997,130,300,171,355,91,102
1998,107,317,211,11,58,47
1999,114,294,181,364,80,81
2000,119,315,197,14,67,53
2001,118,294,177,348,97,115
2002,119,293,175,2,74,72
2003,135,297,163,4,93,89
2004,125,303,179,7,87,80
2005,123,304,182,360,95,101
2006,137,299,163,353,83,95
2007,122,310,189,20,86,66
2008,124,302,179,360,101,106
2009,122,297,176,351,82,97
2010,132,309,178,363,85,87
2011,132,299,168,349,93,109
2012,125,299,175,14,71,57
2013,125,300,176,14,101,87
2014,128,302,175,350,102,117
2015,118,305,188,2,93,91
2016,108,338,231,11,73,62
2017,125,305,181,1,66,65
2018,118,299,182,361,90,94
2019,124,299,176,349,90,106
2020,129,304,176,12,82,70
