"Year","Month","Day","Secchi.Depth.m","s.Secchi.Depth.m","People","Notes.Secchi","Source.Secchi","Date","yDay","Source.Color","Secchi.Season","Secchi.Granular.Season"
1900,11,26,4.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1900-11-26,330,"plum2",NA,NA
1901,2,20,5.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-02-20,51,"plum2",NA,NA
1901,3,2,10,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-03-02,61,"plum2",NA,NA
1901,3,18,11,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-03-18,77,"plum2",NA,NA
1901,4,15,0.9,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-04-15,105,"plum2",NA,NA
1901,4,16,1.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-04-16,106,"plum2",NA,NA
1901,4,19,2.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-04-19,109,"plum2",NA,NA
1901,4,27,2.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-04-27,117,"plum2",NA,NA
1901,5,4,2.8,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-05-04,124,"plum2",NA,NA
1901,5,20,4.1,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-05-20,140,"plum2",NA,NA
1901,6,4,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-06-04,155,"plum2",NA,NA
1901,6,11,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-06-11,162,"plum2",NA,NA
1901,6,19,3.3,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1901-06-19,170,"plum2",NA,NA
1902,10,11,3.2,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1902-10-11,284,"plum2",NA,NA
1906,3,29,0.9,NA,"E.A. Birge C. Juday and Associates","2","NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-03-29,88,"plum2","pre-clearwater","pre-clearwater"
1906,5,20,3.5,NA,"E.A. Birge C. Juday and Associates",NA,"NTL-LTER: 1897-2007 compiled data, dt2 in EDI package ID knb-lter-ntl.335.1",1906-05-20,140,"plum2","clearwater","clearwater #1"
