year,max.ssi
1996,747.932561328376
1997,578.4371370954569
1998,710.64871506955
1999,724.8748093452796
2000,652.0886867081495
2001,708.7371240425792
2002,809.6756147796507
2003,682.8406989401076
2004,603.2589044535715
2005,806.3619769283575
2006,761.8897782060236
2007,744.6117639040781
2008,647.3998908816761
2009,572.7823709283045
2010,784.9850102231902
2011,902.6276959813322
2012,829.9214992166004
2013,832.7603015786051
2014,661.5078662077321
2015,724.903090878561
2016,801.1237870023233
2017,647.9738844503566
2018,836.1240246109732
2019,808.2433488002747
2020,968.2589676618002
2021,808.0549357721172
