year,linear,constant.low,constant.high,spline
1996,168,141,176,167
1997,171,141,179,169
1998,211,186,225,210
1999,181,164,195,177
2000,197,168,215,196
2001,177,142,180,174
2002,175,140,178,175
2003,163,125,165,159
2004,179,148,187,177
2005,182,140,189,180
2006,163,125,166,157
2007,189,168,208,185
2008,179,140,182,180
2009,176,142,182,175
2010,178,134,181,176
2011,168,139,180,161
2012,175,140,179,170
2013,176,139,181,176
2014,175,137,182,173
2015,188,159,190,188
2016,231,198,262,220
2017,181,142,181,178
2018,182,164,190,182
2019,176,145,180,175
2020,176,154,263,175
2021,190,166,194,187
