year,linear,constant.high,constant.low,spline
1996,2000-05-18,2000-05-29,2000-05-16,2000-05-19
1997,2000-05-09,2000-05-13,2000-05-03,2000-05-09
1998,2000-04-16,2000-04-24,2000-04-11,2000-04-16
1999,2000-04-23,2000-04-26,2000-04-13,2000-04-23
2000,2000-04-28,2000-05-10,2000-04-27,2000-04-28
2001,2000-04-27,2000-05-07,2000-04-24,2000-04-29
2002,2000-04-28,2000-05-06,2000-04-25,2000-04-27
2003,2000-05-14,2000-05-27,2000-05-14,2000-05-15
2004,2000-05-04,2000-05-11,2000-04-30,2000-05-04
2005,2000-05-02,2000-05-09,2000-04-26,2000-05-03
2006,2000-05-16,2000-05-30,2000-05-16,2000-05-16
2007,2000-05-01,2000-05-14,2000-05-01,2000-05-01
2008,2000-05-03,2000-05-13,2000-04-30,2000-05-02
2009,2000-05-01,2000-05-11,2000-04-28,2000-05-01
2010,2000-05-11,2000-05-24,2000-05-11,2000-05-11
2011,2000-05-11,2000-05-17,2000-05-03,2000-05-12
2012,2000-05-04,2000-05-15,2000-05-03,2000-05-04
2013,2000-05-04,2000-05-14,2000-04-30,2000-05-03
2014,2000-05-07,2000-05-14,2000-04-30,2000-05-09
2015,2000-04-27,2000-05-01,2000-04-25,2000-04-27
2016,2000-04-17,2000-04-26,2000-04-14,2000-04-17
2017,2000-05-04,2000-05-15,2000-05-04,2000-05-04
2018,2000-04-27,2000-05-07,2000-04-21,2000-04-26
2019,2000-05-03,2000-05-12,2000-04-30,2000-05-03
2020,2000-05-08,2000-05-08,2000-02-14,2000-05-08
2021,2000-04-28,2000-05-06,2000-04-23,2000-05-01
